"","Number","ID","Distance.to.water","Distance.to.road","Existing.vegetation","Fire.Interval","Altitude","Burn.intensity.soil","Burn.intensity.Canopy","Burn.intensity.basal"
"1",1,"H2NFS8",0,325.264706104239,3,14.791638580633,1859.33737057843,0,0,0
"2",2,"H2NFS5",0,0,15.294587836587,11,1839.81289091705,0.248020290594254,0.12812701372865,0.12812701372865
"3",3,"H5NFS2",0,0,4.76920011237985,16,1890.5855910514,0,0,0
"4",4,"H5NFS6",0,0,4.70546417800442,18.2701040668563,1927.23654190712,0,0,0
"5",5,"IB10",0,0,14.2247465971549,NA,1682.55931434994,3.42075635221886,3.8415125223462,5.30799685870966
"6",6,"H2NFS9",0,2308.60102921279,15.7274599634972,15.8184088851239,1515.0094469124,0.0113522716454193,0.0113522284552255,0.0113522284552255
"7",7,"H4FS8",0,649.296156799031,3,11,1333.37798537411,3.75567869979911,4.51135762341242,5.89874521892184
"8",8,"H4NFS1",0,324.90219019251,6.46434754478577,12.1547825149286,1325.53863512143,0,0,0
"9",9,"H4NFS5",0,0,3,11,1285.96450643701,0,0,0
"10",10,"H3FS8",0,0,14.3622373032973,14.7874124344324,1234.94926985136,2.33184990251188,2,2.33184992905755
"11",11,"H4NFS10",0,424.210491466315,6.82503378185135,11,1209.38449125243,0,0,0
"12",12,"H1NFS11",325.500035444158,0,3,16,1866.53715325118,0,0,0
"13",13,"H4NFS9",0,325.53622058978,4.09285875628866,11.6245837777914,1414.52421239734,0,0,0
"14",14,"H2NFS4",0,0,18.8760000491108,37.9249231675892,2098.38654774481,0,0,0
"15",15,"H1NFS12",324.90219019251,0,3.3810491714833,14.1556956169375,1952.38997089344,0,0,0
"16",16,"H5FS4",0,0,3,15.0587070693708,1923.55251460677,3.35034546263144,4.21309582513474,5.56344133035385
"17",17,"IB15",0,0,3.80653269250586,11,1386.44359150018,3.51789958615992,4.27684914624974,5.79474857708289
"18",18,"H4FS11",0,324.339157668069,7.10853593061409,12.3695119768714,1351.18137621642,2.26273675053666,2.46268599995338,2.72542270445338
"19",19,"H3NFS1",0,775.666131303723,11.1620774847403,13.7206924949134,1377.43468270881,0,0,0
"20",20,"H4NFS4",0,0,3,11,1532.29238178204,0,0,0
"21",21,"H1NFS9",325.825501638615,0,6.7269641396829,16.5460717206342,1713.31302515673,0,0,0
"22",22,"OB4",0,0,7.86808344003864,15.8537698350564,1650.04185677959,0.804172777052081,0.402086401514861,0.402086401514861
"23",23,"H3FS7",0,0,14.8189160967713,15.294228360139,648.516961992931,2.20794818131042,2.31697748346868,2.6238448653048
"24",24,"IB26",0,0,12.1424195556492,13.1429938888596,1710.01015305667,4,5,7
"25",25,"H1FS3",325.717058286323,325.717058286323,4.20439542246568,11,1196.11417731973,1.64887882211953,1,1
"26",26,"H2FS6",0,424.210491466315,15.0616315737427,22.2604211150875,1876.82265165243,1.74601076615079,2.07168497168623,3.11583113321532
"27",27,"H5NFS11",0,325.807453357071,6.68668620855682,11,1564.34787969286,0,0,0
"28",28,"H5FS3",0,651.723246058471,6.33129777985327,17.4793608545179,1826.54242697137,2.91815867169782,2.78859280285636,3.70675140681716
"29",29,"IB27",0,0,6.69679807794006,12.23226602598,1417.41118963731,2.33604659417526,2.52494630546945,3.49281239624331
"30",30,"H5FS7",0,324.81145975793,3,16,2019.4656886069,0.404315078531338,0.673858104501623,0.808629725401948
"31",31,"H2FS12",324.865920522984,324.865920522984,14.380417384759,23.8215056945334,1887.27741981209,1.94993127871474,1.94993147790405,2.5999086372054
"32",32,"H5FS12",0,0,7.96743281162999,28.9443906941608,1867.58962169898,4,5,7
"33",33,"H1FS8",0,975.84847468038,12,11,1029.74872515567,4,5,6.4346553094722
"34",34,"H5NFS10",0,0,7,16,1632.55326334693,0,0,0
"35",35,"H3NFS9",0,0,18,16,1248.59874867026,0,0,0
"36",36,"H3NFS4",0,0,18,16,1314.89355881591,0,0,0
"37",37,"H3FS1",0,1299.4636146863,12,14.1753262157624,989.327678849797,3.20470082861484,4.01240402745032,6.11746774876222
"38",38,"H3FS12",0,0,11.7931120047732,14.7500481502297,704.184747088221,0.529189118340158,0.65893650287595,0.851052157366894
"39",39,"H1FS5",323.956924985174,424.210480819579,3.48942542784944,11.1631418092831,1645.88226153683,3,2.24983259839589,3.72198969895734
"40",40,"H1FS4",324.193593712976,324.193593712976,4.86060972500101,16,2073.5406196737,1.99919352616913,1.08549333860313,1.09403186381956
"41",41,"H3NFS3",0,0,18,16,1450.20717981452,0,0,0
"42",42,"H5FS10",0,323.720013472432,3,11,1615.1332890071,4,5,7
"43",43,"H2FS5",0,0,17.7566179999979,15.3915449999948,1601.45593663858,3.98384245782386,1.91606613046807,2.16527958543366
"44",44,"H2FS2",0,424.210491466315,13.5366085598515,11.947458246211,1639.9721903609,3.86415146148717,4.72830285871178,6.59245428806767
"45",45,"H4FS9",0,0,6.68410856755158,15.4209302810619,1449.78677480657,2.8093821124866,2.98778993973632,3.92951384023946
"46",46,"H4FS1",0,0,5.43299855705047,11.8109995190168,1242.82186959427,1.16987620939999,1.21750341550657,1.31275756591962
"47",47,"H3NFS10",0,0,14.6951625312358,14.4916818631683,1025.55426642259,0,0,0
"48",48,"H2NFS6",0,424.210491466315,13.6978624343654,11.8854375252441,1657.3709579192,0,0,0
"49",49,"H1NFS5",325.246598931045,0,4.91245340614539,13.3905667576817,1725.16021228725,0,0,0
