,ID,Julian1,Julian2,Julian3,max.hum1,max.hum2,max.hum3,max.temp1,max.temp2,max.temp3,mean.hum1,mean.hum2,mean.hum3,mean.temp1,mean.temp2,mean.temp3,min.hum1,min.hum2,min.hum3,min.temp1,min.temp2,min.temp3,sd.hum1,sd.hum2,sd.hum3,sd.temp1,sd.temp2,sd.temp3
1,OB4,182.034039351852,183.034039351852,184.034039351852,99,100,100,18,21,17,91.9090909090909,97.4545454545455,100,12.7272727272727,16.1818181818182,12,80,78,100,10,14,9,6.4258002685198,6.69871086648224,0,2.93567399725886,2.04049904769308,2.89827534923789
2,IB27,189.061122685185,190.061122685185,191.061122685185,100,100,100,13,13,15,100,100,98.1818181818182,10.9090909090909,10.5454545454545,10.5454545454545,100,100,86,9,8,7,0,0,4.4230799635137,1.57826141399614,1.75291964240443,2.65945995885016
3,H1FS8,195.059733796296,196.059733796296,197.059733796296,78,68,81,19,21,24,65.0909090909091,55,66.5454545454545,14.5454545454545,17.0909090909091,18.5454545454545,49,41,50,11,14,15,8.12963154705729,9.46572765295939,9.72999112397988,2.423371055519,2.21153998175685,2.94494945164213
4,H3NFS10,209.025011574074,210.025011574074,211.025011574074,64,61,68,30,30,31,41.7272727272727,41.2727272727273,47.3636363636364,16.0909090909091,18,19.5454545454545,14,16,21,8,11,12,16.4990357844991,15.1465567644327,14.9149101725269,7.09160835712951,6.13188388670236,6.02268439092796
