"","Distance.to.water","Distance.to.road","Existing.vegetation","Fire.Interval","Altitude","Burn.intensity.soil","Burn.intensity.Canopy","Burn.intensity.basal","Fire_edge"
"1",-0.437194450510644,0.19038255450539,-1.13446475535819,-0.0369286060990888,0.947756762964399,-0.902913100345026,-0.833171836060852,-0.806674407017206,1.43714907970982
"2",-0.437194450510644,-0.586219943549573,1.20173336112691,-0.811236606487346,0.889920695075183,-0.744968708609658,-0.762512880373549,-0.755378510406466,-0.699415893103089
"3",-0.437194450510644,-0.586219943549573,-0.798284151085109,0.209836452100766,1.0403212857244,-0.902913100345026,-0.833171836060852,-0.806674407017206,1.4189034740415
"4",-0.437194450510644,-0.586219943549573,-0.810395152356643,0.67342487331441,1.14888995901251,-0.902913100345026,-0.833171836060852,-0.806674407017206,-0.518637015015268
"5",-0.437194450510644,-0.586219943549573,0.99844382248174,NA,0.424098888031209,1.27549447716861,1.28532959927437,1.31839234970434,-0.320682106665471
"6",-0.437194450510644,4.92579932109961,1.28398703604334,0.172752894080744,-0.0722229337351588,-0.895683741454166,-0.826911356321551,-0.802129520692222,-0.6686326384912
"7",-0.437194450510644,0.964040530125491,-1.13446475535819,-0.811236606487346,-0.610257727340388,1.4887798753921,1.65473300478038,1.55489959241214,-0.498507743213456
"8",-0.437194450510644,0.189517011001146,-0.476174919634928,-0.575413144589395,-0.6334797121926,-0.902913100345026,-0.833171836060852,-0.806674407017206,1.5241944568608
"9",-0.437194450510644,-0.586219943549573,-1.13446475535819,-0.811236606487346,-0.750707521153482,-0.902913100345026,-0.833171836060852,-0.806674407017206,-0.113213027911971
"10",-0.437194450510644,-0.586219943549573,1.02456958761957,-0.0377916476803994,-0.901826560056456,0.582056589282153,0.269779891001212,0.12688619925545,-0.799912126987039
"11",-0.437194450510644,0.426625659498238,-0.407637891920993,-0.811236606487346,-0.977555403734587,-0.902913100345026,-0.833171836060852,-0.806674407017206,-0.0770920295133216
"12",2.24452721169204,-0.586219943549573,-1.13446475535819,0.209836452100766,0.969084198088896,-0.902913100345026,-0.833171836060852,-0.806674407017206,0.385891686149121
"13",-0.437194450510644,0.191030822931086,-0.92680146476418,-0.683687472369521,-0.3698836588005,-0.902913100345026,-0.833171836060852,-0.806674407017206,0.465206412244467
"14",-0.437194450510644,-0.586219943549573,1.88226763915592,4.68722612420102,1.65587623297502,-0.902913100345026,-0.833171836060852,-0.806674407017206,3.46002440966311
"15",2.23960169940595,-0.586219943549573,-1.0620583951643,-0.166797450750045,1.22340028795805,-0.902913100345026,-0.833171836060852,-0.806674407017206,0.0782862730016022
"16",-0.437194450510644,-0.586219943549573,-1.13446475535819,0.0176106818882729,1.13797701097611,1.23065538360166,1.49024882217001,1.42066003522303,-0.69968606357724
"17",-0.437194450510644,-0.586219943549573,-0.981208689942149,-0.811236606487346,-0.453065010861669,1.33735727453682,1.52540723992145,1.51326433666587,0.728574172404663
"18",-0.437194450510644,0.188172713763278,-0.353767262410465,-0.531562249249014,-0.557519926869684,0.538043921167212,0.524940052394931,0.284453817081945,-0.799912126987039
