ID,DIAMETER
H2NFS4,66
H2NFS4,70.3
H2NFS4,63.2
H2NFS4,47.8
H2NFS4,55.8
H2NFS4,54.3
H2NFS4,81.7
H2NFS4,80
H2NFS4,69.9
H2NFS4,34.1
H2NFS4,30
H2NFS4,81.1
H2NFS4,80.7
H2NFS4,49
H2NFS4,72.5
H2NFS4,64.2
H2NFS4,76.8
H2NFS4,66.8
H2NFS4,61.4
H2NFS4,78
H2NFS4,57.6
H2NFS4,88.6
H2NFS4,79
H2NFS4,74.7
H2NFS4,82.6
H1NFS12,7.3
H1NFS12,119.9
H1NFS12,21.1
H1NFS12,80.8
H1NFS12,81
H1NFS12,26.8
H1NFS12,8.8
H1NFS12,13.1
H1NFS12,49.7
H1NFS12,11.2
H1NFS12,35
H1NFS12,38.5
H1NFS12,32.2
H1NFS12,42.9
H1NFS12,32.3
H1NFS12,34.8
H1NFS12,14.4
H1NFS12,12.6
H1NFS12,11.7
H1NFS12,9.9
H1NFS12,68.5
H1NFS12,45.9
H1NFS12,66.4
H1NFS12,66.2
H1NFS12,69.3
H5FS4,104.2
H5FS4,95.9
H5FS4,13.4
H5FS4,16
H5FS4,16.9
H5FS4,61.7
H5FS4,64
IB15,135.5
IB15,45.1
IB15,89.5
IB15,93
IB15,113
IB15,29.5
IB15,30.8
IB15,34.9
IB15,19
IB15,13
H4FS11,34.3
H4FS11,89.4
H4FS11,62.5
H4FS11,132
H4FS11,89.1
H4FS11,37.3
H4FS11,40.9
H4FS11,50
H4FS11,47.4
H4FS11,41.9
H4FS11,47.9
H4FS11,43.1
H4FS11,24.1
H4FS11,50.6
H4FS11,21.2
H4FS11,50.2
H4FS11,128
H4FS11,49.9
H4FS11,37.1
H4FS11,44.7
H3NFS1,8.2
H3NFS1,4.4
H3NFS1,103.4
H3NFS1,67.3
H3NFS1,137.4
H3NFS1,78.4
H3NFS1,20.1
H3NFS1,13.5
H3NFS1,21.1
H3NFS1,107
OB4,57
H1NFS9,152
H1NFS9,21.4
H1NFS9,51.2
H1NFS9,74.1
H1NFS9,48.2
H1NFS9,72.7
H1NFS9,37.7
H1NFS9,69.5
H1NFS9,95.5
H1NFS9,69.4
H1NFS9,69.9
H3FS1,26.3
H3FS1,47.6
H3FS1,8.5
H3FS1,70.5
H3FS1,60.9
H3FS1,67.8
IB26,48.5
IB26,56
IB26,86
IB26,46.7
H1FS3,51.4
H1FS3,22.2
H1FS3,71.2
H1FS3,21.9
H1FS3,25.7
H1FS3,22.9
H1FS3,73.5
H1FS3,100.5
H1FS3,82.9
H1FS3,97.9
H1FS3,84
H1FS3,105.4
H1FS3,19.2
H1FS3,18.1
H1FS3,33
H1FS3,30.5
H1FS3,66.3
H1FS3,12.1
H1FS3,16.3
H1FS3,64.6
H1FS3,37.1
H1FS3,46.8
H1FS3,36.6
H4NFS4,72.4
H4NFS4,44.1
H4NFS4,100
H4NFS4,24.2
H4NFS4,73.4
H4NFS4,40
H4NFS4,58.9
H4NFS4,31.5
H4NFS4,18.8
H4NFS4,63.3
H4NFS4,32.6
H4NFS4,69.3
H4NFS4,33.9
H4NFS4,35
H4NFS4,109.9
H4NFS4,114
H4NFS4,70.1
H4NFS4,87.3
H4NFS4,66.4
H4NFS4,39.7
H2FS6,0
H5NFS11,67.7
H5NFS11,79.3
H5NFS11,122.4
H5NFS11,102
H5NFS11,29.8
H5NFS11,42.9
H5NFS11,39.4
H5NFS11,34.8
H5FS3,42.8
H5FS3,30.1
H5FS3,42.4
H5FS3,25.6
H5FS3,52.7
H5FS3,29.6
H5FS3,48.4
H5FS3,48.1
H5FS3,14.7
H5FS3,37.9
H5FS3,114.3
H5FS3,170.9
H5FS3,126.2
H5FS3,124.8
H5FS3,33.8
H5FS3,44.2
H5FS3,24.4
H5FS3,30.7
IB27,26.8
IB27,60.3
IB27,62
IB27,107
IB27,26.4
IB27,102
IB27,26.4
IB27,89
IB27,34.5
H5FS7,18
H5FS7,62.2
H5FS7,50.8
H5FS7,58.4
H2FS12,16.7
H2FS12,41.4
H2FS12,55.4
H5FS12,0
H1FS8,57.9
H5NFS10,46.9
H5NFS10,48.2
H5NFS10,44.3
H5NFS10,55.6
H5NFS10,42.6
H5NFS10,27.5
H5NFS10,15.4
H5NFS10,23.3
H5NFS10,64.6
H5NFS10,38.1
H5NFS10,54.8
H5NFS10,27.1
H3NFS9,36
H3NFS9,16.3
H3NFS9,21.1
H3NFS9,17.2
H3NFS9,38.9
H3NFS9,42.5
H3NFS9,51
H3NFS9,70.3
H3NFS9,18.1
H3NFS9,16.6
H3NFS9,62.8
H3NFS9,22.3
H3NFS9,66
H3NFS9,22.6
H3NFS9,51.6
H3NFS9,31.8
H3NFS9,45.9
H3NFS9,16.9
H3NFS4,41
H3NFS4,9.5
H3NFS4,28.6
H3NFS4,31.1
H3NFS4,21.4
H3NFS4,44.9
H3NFS4,49
H3NFS4,47.1
H3NFS4,22
H3NFS4,5.4
H3NFS4,13.1
H3NFS4,24
H3NFS4,85.2
H3NFS4,16.3
H3NFS4,36.1
H3NFS4,26.7
H3NFS4,3.2
H3NFS4,51.4
H3NFS4,89.2
H3NFS4,36.8
H3NFS4,25.3
H3NFS4,14.1
H3NFS4,51.9
H3NFS4,67.8
H3NFS4,41.6
H3NFS4,47
H3NFS4,13.5
H3NFS4,28.2
H3NFS4,17.5
H3NFS4,38.5
H3NFS4,28.7
H3NFS4,94
H3NFS4,36.5
H3NFS4,29
H3NFS4,20.7
H3NFS4,33.2
H3NFS4,19.5
H3NFS4,30
H3FS7,87.4
H3FS7,45.2
H3FS7,34.3
H3FS7,39
H3FS7,63.1
H3FS7,58.9
H3FS7,60.8
H3FS7,145.4
H3FS7,52.8
H3FS7,28.6
H3FS12,10.3
H3FS12,11
H3FS12,12
H1FS5,12.2
H1FS5,45.5
H1FS5,33.7
H1FS5,83.4
H1FS5,88
H1FS5,37.6
H1FS5,40.8
H1FS5,45.6
H1FS5,48.1
H1FS4,86
H1FS4,85
H1FS4,53.7
H1FS4,75.5
H1FS4,58
H1FS4,74.1
H1FS4,113
H1FS4,62
H1FS4,83
H1FS4,71.6
H1FS4,40
H1FS4,62.3
H1FS4,84.6
H1FS4,72.6
H1FS4,69
H1FS4,84
H1FS4,60
H1FS4,71.5
H3NFS3,37.2
H3NFS3,32
H3NFS3,29.3
H3NFS3,26.2
H3NFS3,40.4
H3NFS3,33.3
H3NFS3,22.7
H3NFS3,52.1
H3NFS3,27.9
H3NFS3,93
H5FS10,31.8
H5FS10,11.9
H5FS10,35.8
H2FS5,60.5
H2FS5,83.7
H2FS5,107.3
H2FS2,37.5
H2FS2,33
H2FS2,45.9
H2FS2,16.7
H2FS2,66.8
H4FS9,41.2
H4FS9,24.4
H4FS9,26.3
H4FS9,29.3
H4FS9,54
H4FS9,34.8
H4FS9,35.7
H4FS9,40.6
H4FS9,17.1
H4FS9,36.7
H4FS9,37.2
H4FS9,16.3
H4FS9,24.9
H4FS9,44.1
H4FS9,38.1
H4FS9,18.1
H4FS9,30.7
H4FS9,35.5
H4FS9,24.7
H4FS9,9.9
H4FS9,52.1
H4FS9,39.6
H4FS9,27.4
H4FS1,31.5
H4FS1,19.9
H4FS1,45.7
H4FS1,53
H4FS1,31.9
H4FS1,35.8
H4FS1,41.3
H4FS1,35.8
H4FS1,38.2
H4FS1,15.4
H4FS1,11.3
H4FS1,27.5
H4FS1,22
H4FS1,51.7
H4FS1,15.6
H4FS1,37.2
H4FS1,11.3
H4FS1,31.6
H4FS1,33.8
H4FS1,19.8
H4FS1,50.2
H4FS1,103
H4FS1,38.6
H4FS1,31.4
H4FS1,46.7
H4FS1,38.7
H4FS1,52.7
H2NFS6,23.4
H2NFS6,42.8
H2NFS6,25
H2NFS6,32.5
H2NFS6,54.1
H2NFS6,20.2
H2NFS6,31.9
H2NFS6,50.7
H2NFS6,46.7
H2NFS6,47.2
H1NFS5,15.1
H1NFS5,19.2
H1NFS5,29.8
H1NFS5,31.8
H1NFS5,43.1
H1NFS5,9.2
H1NFS5,9.7
H1NFS5,32.6
H1NFS5,28.5
H1NFS5,35.7
H3NFS10,84.3
H3NFS10,39.9
H3NFS10,32.6
H3NFS10,44.6
H3NFS10,43.2
H3NFS10,70.1
H3NFS10,51.1
H3NFS10,38
H3NFS10,24.1
H3NFS10,39.8
H3NFS10,51.6
H3NFS10,64.6
H3NFS10,56.2
H3NFS10,56.3
H3NFS10,53.6
H3NFS10,44.2
H3NFS10,39.6
H3NFS10,22.7
H3NFS10,15.4
