ID,DIAMETER
H2NFS8,34.05915782
H2NFS8,35.33239737
H2NFS8,11.77746579
H2NFS8,9.549296586
H2NFS8,34.69577759
H2NFS8,15.59718442
H2NFS8,13.05070533
H2NFS8,12.09577567
H2NFS8,18.78028328
H2NFS5,87.85352859
H5NFS2,46.1549335
H5NFS2,50.92958179
H5NFS2,22.28169203
H5NFS2,32.46760839
H5NFS2,47.74648293
H5NFS2,51.56620156
H5NFS2,44.56338407
H5NFS2,77.98592212
H5NFS2,39.47042589
H5NFS2,47.10986316
H5NFS2,56.97746963
H5NFS2,42.65352475
H5NFS2,32.46760839
H5NFS2,37.56056657
H5NFS2,40.10704566
H5NFS2,49.01972247
H5NFS6,30.87605896
IB10,36.5
H2NFS9,16
H2NFS9,14.5
H4FS8,43.2
H4FS8,61.4
H4FS8,60.2
H4FS8,85
H4FS8,73
H4FS8,48.2
H4FS8,47
H4FS8,53
H4NFS1,23.8
H4NFS1,48.9
H4NFS1,43.2
H4NFS1,32.6
H4NFS1,42.4
H4NFS1,50.9
H4NFS1,32
H4NFS1,50.7
H4NFS1,45.1
H4NFS1,37.4
H4NFS1,21.8
H4NFS1,28.5
H4NFS1,42.3
H4NFS1,44.3
H4NFS1,40.4
H4NFS1,34.3
H4NFS5,61.9
H4NFS5,35.8
H4NFS5,79.2
H4NFS5,23.9
H4NFS5,82.5
H4NFS5,74
H4NFS5,49
H4NFS5,45.5
H4NFS5,68.5
H4NFS5,48.2
H4NFS5,76.7
H4NFS5,63.4
H4NFS5,51
H4NFS5,105.1
H4NFS5,36.7
H4NFS5,79
H4NFS5,93.1
H4NFS5,59
H4NFS5,88.2
H4NFS5,108
H4NFS5,111.6
H4NFS5,54.4
H3FS8,20.4
H3FS8,22
H3FS8,25.3
H3FS8,63.8
H3FS8,37.4
H3FS8,20.5
H3FS8,48.6
H3FS8,17.2
H3FS8,10.3
H3FS8,20.5
H3FS8,17.6
H3FS8,39.6
H3FS8,92
H3FS8,24.5
H3FS8,16.6
H3FS8,112.1
H3FS8,74.9
H3FS8,108.3
H3FS8,46.5
H3FS8,63.7
H3FS8,82
H3FS8,44
H3FS8,65.6
H3FS8,12.3
H3FS8,24.4
H3FS8,75.7
H3FS8,47
H3FS8,37.5
H4NFS10,32
H4NFS10,33.1
H4NFS10,33.5
H4NFS10,16.8
H4NFS10,20.9
H4NFS10,25.3
H4NFS10,40
H4NFS10,28.1
H4NFS10,15.1
H4NFS10,10
H4NFS10,25.8
H4NFS10,32.6
H1NFS11,27.3
H1NFS11,40.2
H1NFS11,60
H1NFS11,30.06
H1NFS11,25.7
H1NFS11,20
H1NFS11,26.6
H1NFS11,33.4
H1NFS11,14.8
H1NFS11,60.3
H4NFS9,22.1
H4NFS9,21.3
H4NFS9,48.6
H4NFS9,43.9
H4NFS9,63
H4NFS9,72.8
H4NFS9,8.2
H4NFS9,55.6
H4NFS9,55.9
H2NFS4,55.8
H2NFS4,70.2
H2NFS4,33.8
H2NFS4,55.9
